id,image_path,description,category_title,civic_agency_title
1,http://mapunitygroups.com//uploads/tmp/1473912956-2259-2787/1473912810173.jpg,Never gets cleared,Garbage and Unsanitary Practices,BBMP
2,http://mapunitygroups.com//uploads/tmp/1473922493-2259-8202/1473922389394.jpg,"Gets cleared but comes back, This is mainly leaf litter",Garbage and Unsanitary Practices,BBMP
3,http://mapunitygroups.com//uploads/tmp/1473923287-2259-5532/1473923229296.jpg,Gets cleared but comes back,Garbage and Unsanitary Practices,BBMP
4,http://mapunitygroups.com//uploads/tmp/1473923763-2259-7165/1473923663747.jpg,"BBMP/ sweepers dump waste here, Gets cleared but comes back, This is mainly leaf litter",Garbage and Unsanitary Practices,BBMP
5,http://mapunitygroups.com//uploads/tmp/1473937576-2259-1125/1473937540829.jpg,"BBMP/ sweepers dump waste here, Gets cleared but comes back, BBMP auto/pushcart is parked here",Garbage and Unsanitary Practices,BBMP
6,http://mapunitygroups.com//uploads/tmp/1474003004-2259-7959/1474002934545.jpg,"BBMP/ sweepers dump waste here, Gets cleared but comes back, BBMP auto/pushcart is parked here",Garbage and Unsanitary Practices,BBMP
7,http://mapunitygroups.com//uploads/tmp/1474003420-2259-5655/1474003380257.jpg,"BBMP/ sweepers dump waste here, Gets cleared but comes back",Garbage and Unsanitary Practices,BBMP
8,http://mapunitygroups.com//uploads/tmp/1474003638-2259-2867/1474003593365.jpg,"BBMP/ sweepers dump waste here, Gets cleared but comes back, Garbage is burnt here regularly, This is a ward boundary area",Garbage and Unsanitary Practices,BBMP
9,http://mapunitygroups.com//uploads/tmp/1474003736-2259-9950/1474003703861.jpg,"BBMP/ sweepers dump waste here, Gets cleared but comes back",Garbage and Unsanitary Practices,BBMP
10,http://mapunitygroups.com//uploads/tmp/1474018689-2259-6074/1474018653602.jpg,,Garbage and Unsanitary Practices,BBMP
11,http://mapunitygroups.com//uploads/tmp/1471763234-2005-8209/IMG_20160821_123558.jpg,Gets cleared but comes back,Garbage and Unsanitary Practices,BBMP
12,http://mapunitygroups.com//uploads/tmp/1471872681-2005-9134/Untitled.png,BBMP/ sweepers dump waste here,Garbage and Unsanitary Practices,BBMP
13,http://mapunitygroups.com//uploads/tmp/1471872832-2005-3700/Untitled1.png,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here, Garbage is burnt here regularly",Garbage and Unsanitary Practices,BBMP
14,http://mapunitygroups.com//uploads/tmp/1471873001-2005-1305/thumb_IMG_9750_1024.jpg,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here, Garbage is burnt here regularly",Garbage and Unsanitary Practices,BBMP
15,http://mapunitygroups.com//uploads/tmp/1471873195-2005-3667/thumb_IMG_9744_1024.jpg,"BBMP/ sweepers dump waste here, Garbage is burnt here regularly, BBMP auto/pushcart is parked here",Garbage and Unsanitary Practices,BBMP
16,http://mapunitygroups.com//uploads/tmp/1471874444-2005-1986/Untitled.png,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here, Garbage is burnt here regularly",Garbage and Unsanitary Practices,BBMP
17,http://mapunitygroups.com//uploads/tmp/1471874706-2005-5544/thumb_IMG_9747_1024.jpg,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here",Garbage and Unsanitary Practices,BBMP
18,http://mapunitygroups.com//uploads/tmp/1471874861-2005-9404/thumb_IMG_9748_1024.jpg,"Gets cleared daily but comes back, It's a lorry transfer point, BBMP/ sweepers dump waste here, BBMP auto/pushcart is parked here",Garbage and Unsanitary Practices,BBMP
19,http://mapunitygroups.com//uploads/tmp/1471875055-2005-0299/thumb_IMG_9749_1024.jpg,Gets cleared daily but comes back,Garbage and Unsanitary Practices,BBMP
20,http://mapunitygroups.com//uploads/tmp/1471875196-2005-9413/thumb_IMG_9751_1024.jpg,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here",Garbage and Unsanitary Practices,BBMP
21,http://mapunitygroups.com//uploads/tmp/1471875346-2005-7567/Untitled.png,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here",Garbage and Unsanitary Practices,BBMP
22,http://mapunitygroups.com//uploads/tmp/1471875457-28941-1403/Untitled.png,Gets cleared daily but comes back,Garbage and Unsanitary Practices,BBMP
23,http://mapunitygroups.com//uploads/tmp/1471875614-2005-6895/Untitled.png,"Gets cleared daily but comes back, Garbage is burnt here regularly",Garbage and Unsanitary Practices,BBMP
24,http://mapunitygroups.com//uploads/tmp/1471875770-2005-2758/thumb_IMG_9755_1024.jpg,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here, Garbage is burnt here regularly",Garbage and Unsanitary Practices,BBMP
25,http://mapunitygroups.com//uploads/tmp/1471875861-2005-3446/thumb_IMG_9756_1024.jpg,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here",Garbage and Unsanitary Practices,BBMP
26,http://mapunitygroups.com//uploads/tmp/1471875953-2005-1592/thumb_IMG_9757_1024.jpg,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here",Garbage and Unsanitary Practices,BBMP
27,http://mapunitygroups.com//uploads/tmp/1471876246-2005-5914/thumb_IMG_9758_1024.jpg,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here",Garbage and Unsanitary Practices,BBMP
28,http://mapunitygroups.com//uploads/tmp/1471876408-2005-2360/thumb_IMG_9760_1024.jpg,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here",Garbage and Unsanitary Practices,BBMP
29,http://mapunitygroups.com//uploads/tmp/1471876515-2005-2140/thumb_IMG_9761_1024.jpg,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here",Garbage and Unsanitary Practices,BBMP
30,http://mapunitygroups.com//uploads/tmp/1471876591-2005-4410/thumb_IMG_9762_1024.jpg,Gets cleared daily but comes back,Garbage and Unsanitary Practices,BBMP
31,http://mapunitygroups.com//uploads/tmp/1471876716-2005-9522/thumb_IMG_9764_1024.jpg,Gets cleared daily but comes back,Garbage and Unsanitary Practices,BBMP
32,http://mapunitygroups.com//uploads/tmp/1471876784-2005-9622/thumb_IMG_9765_1024.jpg,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here, Garbage is burnt here regularly",Garbage and Unsanitary Practices,BBMP
33,http://mapunitygroups.com//uploads/tmp/1471876860-2005-2778/thumb_IMG_9766_1024.jpg,"Gets cleared daily but comes back, BBMP/ sweepers dump waste here",Garbage and Unsanitary Practices,BBMP
34,http://mapunitygroups.com//uploads/tmp/1471927204-2005-4845/Image_of_the_blackspot.jpg,This Is A Ward Boundary Area,Garbage and Unsanitary Practices,BBMP
35,http://mapunitygroups.com//uploads/tmp/1471934826-2005-8116/IMG_20160807_073628.jpg,Gets cleared but comes back,Garbage and Unsanitary Practices,BBMP
